Date,Price,Open,High,Low,Vol.,Change %
12/31/2021,1.1368,1.1324,1.1387,1.1303,,"0,40%"
12/30/2021,1.1323,1.1349,1.1361,1.1298,,"-0,22%"
12/29/2021,1.1348,1.1311,1.137,1.1273,,"0,34%"
12/28/2021,1.1309,1.1329,1.1334,1.1289,,"-0,14%"
12/27/2021,1.1325,1.1318,1.1335,1.1303,,"0,07%"
12/24/2021,1.1317,1.133,1.1345,1.1303,,"-0,10%"
12/23/2021,1.1328,1.1325,1.1343,1.129,,"0,04%"
12/22/2021,1.1324,1.1279,1.1343,1.1264,,"0,36%"
12/21/2021,1.1283,1.1277,1.1304,1.1261,,"0,07%"
12/20/2021,1.1275,1.1242,1.1305,1.1234,,"0,32%"
12/17/2021,1.1239,1.133,1.1349,1.1235,,"-0,79%"
12/16/2021,1.1328,1.1286,1.1361,1.1281,,"0,38%"
12/15/2021,1.1285,1.126,1.13,1.1222,,"0,25%"
12/14/2021,1.1257,1.1285,1.1327,1.1253,,"-0,23%"
12/13/2021,1.1283,1.1317,1.1321,1.126,,"-0,25%"
12/10/2021,1.1311,1.1293,1.1325,1.1265,,"0,17%"
12/09/2021,1.1292,1.1342,1.1348,1.1278,,"-0,44%"
12/08/2021,1.1342,1.1268,1.1355,1.1265,,"0,70%"
12/07/2021,1.1263,1.1287,1.1301,1.1228,,"-0,19%"
12/06/2021,1.1285,1.1321,1.1321,1.1266,,"-0,25%"
12/03/2021,1.1313,1.1301,1.1334,1.1266,,"0,12%"
12/02/2021,1.1299,1.132,1.1349,1.1294,,"-0,18%"
12/01/2021,1.1319,1.1339,1.1361,1.1302,,"-0,15%"
11/30/2021,1.1336,1.1291,1.1384,1.1235,,"0,40%"
11/29/2021,1.1291,1.1309,1.1316,1.1258,,"-0,23%"
11/26/2021,1.1317,1.1209,1.1332,1.1205,,"0,99%"
11/25/2021,1.1206,1.1198,1.1231,1.1198,,"0,08%"
11/24/2021,1.1197,1.1248,1.1256,1.1186,,"-0,44%"
11/23/2021,1.1246,1.1237,1.1275,1.1226,,"0,11%"
11/22/2021,1.1234,1.1292,1.1292,1.123,,"-0,48%"
11/19/2021,1.1288,1.1371,1.1374,1.125,,"-0,71%"
11/18/2021,1.1369,1.1319,1.1375,1.1313,,"0,44%"
11/17/2021,1.1319,1.1321,1.1333,1.1264,,"0,00%"
11/16/2021,1.1319,1.1368,1.1387,1.1309,,"-0,42%"
11/15/2021,1.1367,1.1452,1.1465,1.1355,,"-0,72%"
11/12/2021,1.145,1.1454,1.1463,1.1433,,"0,00%"
11/11/2021,1.145,1.1482,1.1489,1.1443,,"-0,24%"
11/10/2021,1.1478,1.1593,1.1597,1.1475,,"-0,97%"
11/09/2021,1.1591,1.1589,1.161,1.157,,"0,04%"
11/08/2021,1.1586,1.1555,1.1595,1.155,,"0,17%"
11/05/2021,1.1566,1.1553,1.1574,1.1513,,"0,12%"
11/04/2021,1.1552,1.1612,1.1618,1.1528,,"-0,50%"
11/03/2021,1.161,1.1579,1.1617,1.1562,,"0,29%"
11/02/2021,1.1577,1.1605,1.1614,1.1574,,"-0,25%"
11/01/2021,1.1606,1.1559,1.161,1.1546,,"0,39%"
10/29/2021,1.1561,1.1679,1.1691,1.1534,,"-1,01%"
10/28/2021,1.1679,1.1606,1.1693,1.1582,,"0,65%"
10/27/2021,1.1604,1.1597,1.1627,1.1585,,"0,08%"
10/26/2021,1.1595,1.1607,1.1627,1.1585,,"-0,09%"
10/25/2021,1.1606,1.1644,1.1666,1.159,,"-0,35%"
10/22/2021,1.1647,1.1623,1.1656,1.162,,"0,22%"
10/21/2021,1.1621,1.165,1.1668,1.162,,"-0,24%"
10/20/2021,1.1649,1.1634,1.166,1.1616,,"0,15%"
10/19/2021,1.1632,1.1611,1.167,1.1608,,"0,20%"
10/18/2021,1.1609,1.1597,1.1624,1.1571,,"0,08%"
10/15/2021,1.16,1.1599,1.162,1.1588,,"0,05%"
10/14/2021,1.1594,1.1593,1.1625,1.1584,,"0,02%"
10/13/2021,1.1592,1.1528,1.1598,1.1527,,"0,56%"
10/12/2021,1.1527,1.1555,1.1571,1.1524,,"-0,21%"
10/11/2021,1.1551,1.1571,1.1588,1.1549,,"-0,14%"
10/08/2021,1.1567,1.1551,1.1586,1.154,,"0,15%"
10/07/2021,1.155,1.1556,1.1572,1.1548,,"-0,05%"
10/06/2021,1.1556,1.1603,1.1605,1.1529,,"-0,34%"
10/05/2021,1.1596,1.1623,1.1623,1.158,,"-0,22%"
10/04/2021,1.1621,1.1593,1.1641,1.1587,,"0,23%"
10/01/2021,1.1594,1.1582,1.1608,1.1563,,"0,11%"
09/30/2021,1.1581,1.1596,1.1612,1.1562,,"-0,12%"
09/29/2021,1.1595,1.1683,1.1691,1.1589,,"-0,74%"
09/28/2021,1.1681,1.1696,1.1704,1.1668,,"-0,11%"
09/27/2021,1.1694,1.1724,1.1728,1.1685,,"-0,17%"
09/24/2021,1.1714,1.1738,1.1749,1.17,,"-0,19%"
09/23/2021,1.1736,1.1686,1.1751,1.1683,,"0,43%"
09/22/2021,1.1686,1.1726,1.1757,1.1684,,"-0,32%"
09/21/2021,1.1723,1.1726,1.1751,1.1715,,"-0,02%"
09/20/2021,1.1725,1.1732,1.1737,1.17,,"0,00%"
09/17/2021,1.1725,1.1762,1.179,1.1724,,"-0,33%"
09/16/2021,1.1764,1.1816,1.1822,1.1751,,"-0,43%"
09/15/2021,1.1815,1.1806,1.1833,1.1799,,"0,11%"
09/14/2021,1.1802,1.1812,1.1847,1.1799,,"-0,05%"
09/13/2021,1.1808,1.1814,1.1818,1.177,,"-0,05%"
09/10/2021,1.1814,1.1826,1.1852,1.1809,,"-0,09%"
09/09/2021,1.1825,1.1817,1.1843,1.1805,,"0,10%"
09/08/2021,1.1813,1.184,1.1852,1.1801,,"-0,22%"
09/07/2021,1.1839,1.187,1.1886,1.1837,,"-0,24%"
09/06/2021,1.1868,1.1879,1.1888,1.1855,,"-0,12%"
09/03/2021,1.1882,1.1875,1.191,1.1866,,"0,08%"
09/02/2021,1.1873,1.1839,1.1877,1.1834,,"0,30%"
09/01/2021,1.1837,1.181,1.1858,1.1793,,"0,25%"
08/31/2021,1.1807,1.1797,1.1848,1.1795,,"0,10%"
08/30/2021,1.1795,1.1793,1.1811,1.1782,,"0,02%"
08/27/2021,1.1793,1.1752,1.1803,1.1734,,"0,37%"
08/26/2021,1.175,1.1772,1.178,1.1746,,"-0,17%"
08/25/2021,1.177,1.1754,1.1776,1.1726,,"0,14%"
08/24/2021,1.1753,1.1746,1.1766,1.1727,,"0,09%"
08/23/2021,1.1743,1.1694,1.1751,1.1692,,"0,40%"
08/20/2021,1.1696,1.1675,1.1706,1.1664,,"0,19%"
08/19/2021,1.1674,1.1711,1.1717,1.1666,,"-0,31%"
08/18/2021,1.171,1.171,1.1743,1.1694,,"0,02%"
08/17/2021,1.1708,1.1776,1.1786,1.1708,,"-0,59%"
08/16/2021,1.1777,1.1794,1.1801,1.1767,,"-0,12%"
08/13/2021,1.1791,1.173,1.1806,1.1728,,"0,55%"
08/12/2021,1.1727,1.1738,1.1749,1.1724,,"-0,09%"
08/11/2021,1.1737,1.172,1.1753,1.1706,,"0,16%"
08/10/2021,1.1718,1.1738,1.1744,1.171,,"-0,16%"
08/09/2021,1.1737,1.1762,1.177,1.1734,,"-0,20%"
08/06/2021,1.176,1.1834,1.1837,1.1753,,"-0,61%"
08/05/2021,1.1832,1.1837,1.1858,1.1828,,"-0,03%"
08/04/2021,1.1835,1.1864,1.19,1.1833,,"-0,21%"
08/03/2021,1.186,1.1868,1.1894,1.1853,,"-0,06%"
08/02/2021,1.1867,1.1864,1.1898,1.1858,,"-0,03%"
07/30/2021,1.187,1.1888,1.191,1.1851,,"-0,13%"
07/29/2021,1.1886,1.1845,1.1894,1.1841,,"0,37%"
07/28/2021,1.1842,1.1817,1.1851,1.1773,,"0,24%"
07/27/2021,1.1814,1.1804,1.1841,1.177,,"0,13%"
07/26/2021,1.1799,1.1778,1.1818,1.1763,,"0,24%"
07/23/2021,1.1771,1.1769,1.1788,1.1753,,"0,01%"
07/22/2021,1.177,1.1793,1.1831,1.1757,,"-0,19%"
07/21/2021,1.1792,1.1782,1.1806,1.1752,,"0,11%"
07/20/2021,1.1779,1.1801,1.1805,1.1755,,"-0,16%"
07/19/2021,1.1798,1.1808,1.1825,1.1764,,"-0,06%"
07/16/2021,1.1805,1.1814,1.1823,1.1792,,"-0,06%"
07/15/2021,1.1812,1.1837,1.1852,1.1795,,"-0,19%"
07/14/2021,1.1835,1.1776,1.1839,1.1772,,"0,52%"
07/13/2021,1.1774,1.1862,1.1876,1.1772,,"-0,72%"
07/12/2021,1.1859,1.1872,1.1881,1.1835,,"-0,12%"
07/09/2021,1.1873,1.1844,1.1882,1.1825,,"0,26%"
07/08/2021,1.1842,1.1792,1.1869,1.1783,,"0,45%"
07/07/2021,1.1789,1.1823,1.1839,1.1782,,"-0,28%"
07/06/2021,1.1822,1.1863,1.1896,1.1807,,"-0,33%"
07/05/2021,1.1861,1.1862,1.1881,1.1851,,"-0,03%"
07/02/2021,1.1864,1.185,1.1875,1.1807,,"0,14%"
07/01/2021,1.1848,1.1859,1.1885,1.1837,,"-0,06%"
06/30/2021,1.1855,1.1897,1.191,1.1845,,"-0,34%"
06/29/2021,1.1895,1.1926,1.1933,1.1877,,"-0,24%"
06/28/2021,1.1924,1.1935,1.1946,1.1902,,"-0,08%"
06/25/2021,1.1933,1.1932,1.1976,1.1926,,"0,03%"
06/24/2021,1.193,1.1927,1.1957,1.1917,,"0,04%"
