Date,Price,Open,High,Low,Vol.,Change %
2020-12-31,2.066980934863788,2.26054280466737,2.1892902510342718,2.1484222066240766,,-0.67%
2020-12-30,2.255516418515694,2.14551666287014,2.1915960891824597,2.2309839853099485,,0.39%
2020-12-29,2.145154184182868,2.074200454955853,2.11089175399586,2.1461288238828025,,0.27%
2020-12-28,2.0692801480790552,2.039692612416682,2.053245800291148,2.0819141071271177,,0.08%
2020-12-25,2.046288015926381,2.005184769877511,1.9633181125117949,2.0475133660080016,,0.15%
2020-12-24,2.0049021780515717,2.00748529271346,1.9725414651045479,2.0727405761620217,,0.01%
2020-12-23,2.002602964836305,1.9499722218148399,1.9863764939936777,2.022286155853987,,0.20%
2020-12-22,1.9474218476698943,2.136314571526357,2.069386667328466,2.0176993903714386,,-0.66%
2020-12-21,2.1336581181065335,2.1317135258544684,2.060163314735713,1.9672449700634036,,-0.11%
2020-12-18,2.1635478899050082,2.191527119589028,2.1039742395512953,2.185116330484462,,-0.09%
2020-12-17,2.188839235272944,2.0327910439088486,2.106280077699483,2.1071413172811377,,0.57%
2020-12-16,2.0301935234195128,1.9246664706194516,1.965623950659983,1.9557780563570282,,0.38%
2020-12-15,1.9244297155172254,1.9062622879318911,1.8687787484360652,1.9466045253919317,,0.07%
2020-12-14,1.906036009795085,1.8763554910646139,1.8849196154733832,1.9328442289442873,,0.26%
2020-12-11,1.8324611869065393,1.8901586280802805,1.850332043250554,1.9076170187902675,,-0.21%
2020-12-10,1.8899415172882168,1.7659303949392673,1.8411086906578007,1.8411089192933139,,0.46%
2020-12-09,1.763484790448522,1.8119408516581605,1.818050309175918,1.8021214126916496,,-0.17%
2020-12-08,1.8094690547538652,1.825743988673832,1.785768575101277,1.8869765741188007,,-0.06%
2020-12-07,1.8255635472607386,1.871754445392725,1.859555395843307,1.8479890675171362,,-0.10%
2020-12-04,1.8531541058439414,1.9016612422600023,1.8849196154733832,1.921377315237917,,-0.16%
2020-12-03,1.8991383701492843,1.8395471256894984,1.8803079391770066,1.898443487825171,,0.21%
2020-12-02,1.8416580397676068,1.73602359807199,1.7488751647302594,1.7585471406074369,,0.37%
2020-12-01,1.7381934450805863,1.409349355367849,1.6520299625063415,1.4993948908434405,,1.19%
2020-11-30,1.4117051685126512,1.4760645176102418,1.486009615836765,1.492514742619613,,-0.28%
2020-11-27,1.4898784178317308,1.3771420356646222,1.3937760899092237,1.4558206187592277,,0.41%
2020-11-26,1.3772169702836425,1.3817430813365112,1.3407418125008883,1.4053661984511878,,0.00%
2020-11-25,1.3772169702836425,1.324230010437896,1.3153775928708171,1.3961926674860916,,0.21%
2020-11-24,1.3197366399019652,1.2115043914766048,1.2346732576842172,1.2952838268700217,,0.41%
2020-11-23,1.2093744055691387,1.2368101426719984,1.2600374773142935,1.2104286654428706,,-0.11%
2020-11-20,1.2392641773676136,1.2874216450627805,1.2254499050914642,1.3250978025065898,,-0.17%
2020-11-19,1.2852484416729566,1.239110665507943,1.2046973617577645,1.247122789303261,,0.18%
2020-11-18,1.2369649641523466,1.2598153710314424,1.2277557432396524,1.322804419765316,,-0.08%
2020-11-17,1.2576578830897487,1.2345096198360541,1.2300615813878406,1.3090441233176662,,0.07%
2020-11-16,1.2392641773676136,1.1815975946093276,1.174721465831317,1.2425360238207128,,0.18%
2020-11-13,1.1909806998470036,1.126385046546657,1.1009346450892818,1.2081352827015965,,0.24%
2020-11-12,1.1266027298195203,1.0619704071402034,1.0686529110146408,1.114106590309349,,0.23%
2020-11-11,1.064523973007309,1.1378876607263788,1.094017130644717,1.084292614672786,,-0.31%
2020-11-10,1.1495948619721943,1.1447892292342121,1.1147696739784114,1.164561010617384,,0.01%
2020-11-09,1.1472956487569275,1.3012247820784468,1.2923192113889292,1.1989617517365003,,-0.50%
2020-11-06,1.2829492284576898,1.1769965489374388,1.2254499050914642,1.1989617517365003,,0.43%
2020-11-05,1.1656893544790625,0.9423432196710843,1.151663084349429,1.006317601469457,,0.84%
2020-11-04,0.9380672461676143,0.9193379913116351,0.9441376510124636,0.7609256481531051,,0.09%
2020-11-03,0.9127759007996784,0.7490993014517289,0.8749625065668051,0.8274337476500585,,0.61%
2020-11-02,0.7495317625157084,0.7882081896627888,0.6858837784153458,0.8022065374960385,,-0.06%
